backend,noise,p,outcome,count
qiskit,bitflip,0.1,10010,14
qiskit,bitflip,0.1,10011,19
qiskit,bitflip,0.1,11000,17
qiskit,bitflip,0.1,10111,50
qiskit,bitflip,0.1,10000,47
qiskit,bitflip,0.1,10101,32
qiskit,bitflip,0.1,10001,59
qiskit,bitflip,0.1,01111,59
qiskit,bitflip,0.1,10100,7
qiskit,bitflip,0.1,11100,17
qiskit,bitflip,0.1,00001,49
qiskit,bitflip,0.1,00101,9
qiskit,bitflip,0.1,10110,13
qiskit,bitflip,0.1,01100,20
qiskit,bitflip,0.1,01101,13
qiskit,bitflip,0.1,11010,7
qiskit,bitflip,0.1,01001,15
qiskit,bitflip,0.1,01011,11
qiskit,bitflip,0.1,00011,13
qiskit,bitflip,0.1,01010,18
qiskit,bitflip,0.1,00111,18
qiskit,depolarizing,0.01,11111,972
qiskit,depolarizing,0.01,10001,4
qiskit,depolarizing,0.01,00000,985
qiskit,depolarizing,0.01,01110,4
qiskit,depolarizing,0.01,11101,4
qiskit,depolarizing,0.01,00110,11
qiskit,depolarizing,0.01,11110,3
qiskit,depolarizing,0.01,00100,3
qiskit,depolarizing,0.01,01000,3
qiskit,depolarizing,0.01,01111,4
qiskit,depolarizing,0.01,00001,1
qiskit,depolarizing,0.01,10000,2
qiskit,depolarizing,0.01,11001,2
qiskit,depolarizing,0.01,11011,1
qiskit,depolarizing,0.01,00010,1
qiskit,depolarizing,0.03,11111,911
qiskit,depolarizing,0.03,10001,4
qiskit,depolarizing,0.03,00000,924
qiskit,depolarizing,0.03,00010,29
qiskit,depolarizing,0.03,01111,8
qiskit,depolarizing,0.03,10111,8
qiskit,depolarizing,0.03,11011,11
qiskit,depolarizing,0.03,00100,7
qiskit,depolarizing,0.03,11001,15
qiskit,depolarizing,0.03,10000,6
qiskit,depolarizing,0.03,00110,14
qiskit,depolarizing,0.03,11101,21
qiskit,depolarizing,0.03,01110,17
qiskit,depolarizing,0.03,11110,11
qiskit,depolarizing,0.03,01000,3
qiskit,depolarizing,0.03,00001,7
qiskit,depolarizing,0.03,00011,1
qiskit,depolarizing,0.03,00111,1
qiskit,depolarizing,0.03,10010,1
qiskit,depolarizing,0.03,01001,1
qiskit,depolarizing,0.05,11111,867
qiskit,depolarizing,0.05,10001,17
qiskit,depolarizing,0.05,00000,860
qiskit,depolarizing,0.05,00110,33
qiskit,depolarizing,0.05,00010,47
qiskit,depolarizing,0.05,11110,11
qiskit,depolarizing,0.05,00100,13
qiskit,depolarizing,0.05,11011,18
qiskit,depolarizing,0.05,11001,22
qiskit,depolarizing,0.05,01111,13
qiskit,depolarizing,0.05,11101,28
qiskit,depolarizing,0.05,10010,1
qiskit,depolarizing,0.05,10111,16
qiskit,depolarizing,0.05,10000,7
qiskit,depolarizing,0.05,00001,11
qiskit,depolarizing,0.05,01000,10
qiskit,depolarizing,0.05,01110,22
qiskit,depolarizing,0.05,01101,1
qiskit,depolarizing,0.05,01010,1
qiskit,depolarizing,0.05,11010,1
qiskit,depolarizing,0.05,01100,1
qiskit,depolarizing,0.08,11111,787
qiskit,depolarizing,0.08,01000,22
qiskit,depolarizing,0.08,00000,781
qiskit,depolarizing,0.08,00001,17
qiskit,depolarizing,0.08,00110,49
qiskit,depolarizing,0.08,00100,21
qiskit,depolarizing,0.08,11011,19
qiskit,depolarizing,0.08,11101,62
qiskit,depolarizing,0.08,11110,16
qiskit,depolarizing,0.08,10001,36
qiskit,depolarizing,0.08,11001,28
qiskit,depolarizing,0.08,01110,27
qiskit,depolarizing,0.08,01111,25
qiskit,depolarizing,0.08,10000,9
qiskit,depolarizing,0.08,00010,57
qiskit,depolarizing,0.08,10110,2
qiskit,depolarizing,0.08,01100,6
qiskit,depolarizing,0.08,10111,26
qiskit,depolarizing,0.08,01101,1
qiskit,depolarizing,0.08,01011,1
qiskit,depolarizing,0.08,10011,1
qiskit,depolarizing,0.08,01010,2
qiskit,depolarizing,0.08,10101,1
qiskit,depolarizing,0.08,10010,1
qiskit,depolarizing,0.08,00111,2
qiskit,depolarizing,0.08,00101,1
qiskit,depolarizing,0.1,11111,744
qiskit,depolarizing,0.1,11001,42
qiskit,depolarizing,0.1,01000,33
qiskit,depolarizing,0.1,00000,736
qiskit,depolarizing,0.1,00010,67
qiskit,depolarizing,0.1,11101,67
qiskit,depolarizing,0.1,01110,45
qiskit,depolarizing,0.1,00110,46
qiskit,depolarizing,0.1,10001,48
qiskit,depolarizing,0.1,10111,21
qiskit,depolarizing,0.1,01111,25
qiskit,depolarizing,0.1,11011,27
qiskit,depolarizing,0.1,00001,22
qiskit,depolarizing,0.1,10000,9
qiskit,depolarizing,0.1,01010,6
qiskit,depolarizing,0.1,00100,24
qiskit,depolarizing,0.1,11110,19
qiskit,depolarizing,0.1,01101,3
qiskit,depolarizing,0.1,10110,4
qiskit,depolarizing,0.1,10010,1
qiskit,depolarizing,0.1,10101,2
qiskit,depolarizing,0.1,01100,2
qiskit,depolarizing,0.1,10011,2
qiskit,depolarizing,0.1,11010,1
qiskit,depolarizing,0.1,11100,1
qiskit,depolarizing,0.1,00011,2
qiskit,depolarizing,0.1,00111,1
cirq,bitflip,0.01,00000,957
cirq,bitflip,0.01,11111,960
cirq,bitflip,0.01,10000,12
cirq,bitflip,0.01,10111,6
cirq,bitflip,0.01,11011,8
cirq,bitflip,0.01,10001,1
cirq,bitflip,0.01,00001,15
cirq,bitflip,0.01,11101,5
cirq,bitflip,0.01,01000,7
cirq,bitflip,0.01,01111,5
cirq,bitflip,0.01,11110,2
cirq,bitflip,0.01,00100,15
cirq,bitflip,0.01,00010,5
cirq,bitflip,0.01,00101,1
cirq,bitflip,0.01,00110,1
cirq,bitflip,0.03,11111,871
cirq,bitflip,0.03,01111,30
cirq,bitflip,0.03,00000,818
cirq,bitflip,0.03,00100,40
cirq,bitflip,0.03,01000,26
cirq,bitflip,0.03,10111,25
cirq,bitflip,0.03,10000,28
cirq,bitflip,0.03,01101,2
cirq,bitflip,0.03,00010,30
cirq,bitflip,0.03,00001,27
cirq,bitflip,0.03,11011,31
cirq,bitflip,0.03,10011,3
cirq,bitflip,0.03,11101,22
cirq,bitflip,0.03,11110,35
cirq,bitflip,0.03,10101,3
cirq,bitflip,0.03,11100,1
cirq,bitflip,0.03,01110,2
cirq,bitflip,0.03,11001,1
cirq,bitflip,0.03,00011,1
cirq,bitflip,0.03,00101,1
cirq,bitflip,0.03,10110,1
cirq,bitflip,0.03,10001,2
cirq,bitflip,0.05,00001,31
cirq,bitflip,0.05,11111,767
cirq,bitflip,0.05,11101,39
cirq,bitflip,0.05,10111,42
cirq,bitflip,0.05,01111,43
cirq,bitflip,0.05,00000,800
cirq,bitflip,0.05,10000,46
cirq,bitflip,0.05,11110,32
cirq,bitflip,0.05,01000,37
cirq,bitflip,0.05,11010,5
cirq,bitflip,0.05,00010,42
cirq,bitflip,0.05,11011,37
cirq,bitflip,0.05,00100,40
cirq,bitflip,0.05,01110,2
cirq,bitflip,0.05,10100,1
cirq,bitflip,0.05,10011,1
cirq,bitflip,0.05,10110,3
cirq,bitflip,0.05,10001,3
cirq,bitflip,0.05,00101,3
cirq,bitflip,0.05,11001,2
cirq,bitflip,0.05,10101,1
cirq,bitflip,0.05,01101,2
cirq,bitflip,0.05,00011,2
cirq,bitflip,0.05,00111,3
cirq,bitflip,0.05,11100,2
cirq,bitflip,0.05,01010,2
cirq,bitflip,0.05,10010,3
cirq,bitflip,0.05,01001,1
cirq,bitflip,0.05,01011,3
cirq,bitflip,0.05,11000,3
cirq,bitflip,0.05,00110,1
cirq,bitflip,0.05,01100,1
cirq,bitflip,0.08,11011,49
cirq,bitflip,0.08,11111,648
cirq,bitflip,0.08,11110,74
cirq,bitflip,0.08,00000,655
cirq,bitflip,0.08,11101,59
cirq,bitflip,0.08,11000,5
cirq,bitflip,0.08,10000,51
cirq,bitflip,0.08,01000,66
cirq,bitflip,0.08,00001,48
cirq,bitflip,0.08,00010,57
cirq,bitflip,0.08,01111,70
cirq,bitflip,0.08,00100,58
cirq,bitflip,0.08,00101,4
cirq,bitflip,0.08,01001,4
cirq,bitflip,0.08,10111,59
cirq,bitflip,0.08,10100,6
cirq,bitflip,0.08,01101,6
cirq,bitflip,0.08,00011,7
cirq,bitflip,0.08,11100,7
cirq,bitflip,0.08,11010,6
cirq,bitflip,0.08,01010,6
cirq,bitflip,0.08,00111,6
cirq,bitflip,0.08,10001,3
cirq,bitflip,0.08,10010,6
cirq,bitflip,0.08,00110,13
cirq,bitflip,0.08,01100,6
cirq,bitflip,0.08,11001,6
cirq,bitflip,0.08,10011,6
cirq,bitflip,0.08,01011,3
cirq,bitflip,0.08,10101,3
cirq,bitflip,0.08,10110,1
cirq,bitflip,0.08,01110,2
cirq,bitflip,0.1,00000,579
cirq,bitflip,0.1,11101,75
cirq,bitflip,0.1,01111,57
cirq,bitflip,0.1,00001,70
cirq,bitflip,0.1,10001,11
cirq,bitflip,0.1,11111,605
cirq,bitflip,0.1,01000,80
cirq,bitflip,0.1,11011,62
cirq,bitflip,0.1,10000,67
cirq,bitflip,0.1,11100,11
cirq,bitflip,0.1,01011,6
cirq,bitflip,0.1,00100,72
cirq,bitflip,0.1,10111,66
cirq,bitflip,0.1,00010,59
cirq,bitflip,0.1,00110,12
cirq,bitflip,0.1,10110,4
cirq,bitflip,0.1,11110,67
cirq,bitflip,0.1,00101,7
cirq,bitflip,0.1,10010,10
cirq,bitflip,0.1,00011,7
cirq,bitflip,0.1,10011,3
cirq,bitflip,0.1,11010,7
cirq,bitflip,0.1,01110,6
cirq,bitflip,0.1,01010,7
cirq,bitflip,0.1,10101,4
cirq,bitflip,0.1,11001,7
cirq,bitflip,0.1,01001,7
cirq,bitflip,0.1,10100,7
cirq,bitflip,0.1,11000,6
cirq,bitflip,0.1,01100,5
cirq,bitflip,0.1,01101,5
cirq,bitflip,0.1,00111,9
cirq,depolarizing,0.01,00000,975
cirq,depolarizing,0.01,11111,973
cirq,depolarizing,0.01,10000,5
cirq,depolarizing,0.01,10111,2
cirq,depolarizing,0.01,11011,7
cirq,depolarizing,0.01,11110,2
cirq,depolarizing,0.01,11101,5
cirq,depolarizing,0.01,01000,7
cirq,depolarizing,0.01,00001,11
cirq,depolarizing,0.01,01111,3
cirq,depolarizing,0.01,00100,7
cirq,depolarizing,0.01,00101,1
cirq,depolarizing,0.01,00010,1
cirq,depolarizing,0.01,00110,1
cirq,depolarizing,0.03,11111,919
cirq,depolarizing,0.03,01111,24
cirq,depolarizing,0.03,00000,863
cirq,depolarizing,0.03,00100,24
cirq,depolarizing,0.03,01000,16
cirq,depolarizing,0.03,10000,16
cirq,depolarizing,0.03,00010,23
cirq,depolarizing,0.03,00001,25
cirq,depolarizing,0.03,11011,21
cirq,depolarizing,0.03,10011,2
cirq,depolarizing,0.03,10111,15
cirq,depolarizing,0.03,11101,19
cirq,depolarizing,0.03,11110,29
cirq,depolarizing,0.03,01110,1
cirq,depolarizing,0.03,00011,1
cirq,depolarizing,0.03,10101,1
cirq,depolarizing,0.03,10001,1
cirq,depolarizing,0.05,00001,25
cirq,depolarizing,0.05,11111,842
cirq,depolarizing,0.05,11101,27
cirq,depolarizing,0.05,10111,24
cirq,depolarizing,0.05,01111,35
cirq,depolarizing,0.05,00000,864
cirq,depolarizing,0.05,01000,24
cirq,depolarizing,0.05,11010,3
cirq,depolarizing,0.05,11011,23
cirq,depolarizing,0.05,11110,22
cirq,depolarizing,0.05,00100,26
cirq,depolarizing,0.05,01110,1
cirq,depolarizing,0.05,00010,28
cirq,depolarizing,0.05,10000,33
cirq,depolarizing,0.05,10100,2
cirq,depolarizing,0.05,10011,1
cirq,depolarizing,0.05,10001,2
cirq,depolarizing,0.05,00101,2
cirq,depolarizing,0.05,11001,2
cirq,depolarizing,0.05,01101,1
cirq,depolarizing,0.05,00011,1
cirq,depolarizing,0.05,11100,2
cirq,depolarizing,0.05,01010,2
cirq,depolarizing,0.05,10010,1
cirq,depolarizing,0.05,11000,2
cirq,depolarizing,0.05,01011,2
cirq,depolarizing,0.05,00110,1
cirq,depolarizing,0.05,10110,1
cirq,depolarizing,0.05,01100,1
cirq,depolarizing,0.08,11011,47
cirq,depolarizing,0.08,11111,735
cirq,depolarizing,0.08,11110,58
cirq,depolarizing,0.08,00000,774
cirq,depolarizing,0.08,11101,46
cirq,depolarizing,0.08,10000,34
cirq,depolarizing,0.08,00001,31
cirq,depolarizing,0.08,00010,47
cirq,depolarizing,0.08,01111,51
cirq,depolarizing,0.08,00100,37
cirq,depolarizing,0.08,00101,2
cirq,depolarizing,0.08,01000,38
cirq,depolarizing,0.08,01001,2
cirq,depolarizing,0.08,10111,45
cirq,depolarizing,0.08,10100,4
cirq,depolarizing,0.08,00011,3
cirq,depolarizing,0.08,10011,6
cirq,depolarizing,0.08,01010,5
cirq,depolarizing,0.08,00111,6
cirq,depolarizing,0.08,11100,2
cirq,depolarizing,0.08,01101,3
cirq,depolarizing,0.08,10010,2
cirq,depolarizing,0.08,00110,8
cirq,depolarizing,0.08,11001,3
cirq,depolarizing,0.08,11010,3
cirq,depolarizing,0.08,10110,2
cirq,depolarizing,0.08,10001,1
cirq,depolarizing,0.08,01011,1
cirq,depolarizing,0.08,01100,3
cirq,depolarizing,0.08,11000,1
cirq,depolarizing,0.1,00000,703
cirq,depolarizing,0.1,11101,62
cirq,depolarizing,0.1,01111,39
cirq,depolarizing,0.1,00001,46
cirq,depolarizing,0.1,10001,6
cirq,depolarizing,0.1,11111,717
cirq,depolarizing,0.1,01000,57
cirq,depolarizing,0.1,11011,46
cirq,depolarizing,0.1,10000,52
cirq,depolarizing,0.1,11100,5
cirq,depolarizing,0.1,00100,62
cirq,depolarizing,0.1,10111,53
cirq,depolarizing,0.1,00110,8
cirq,depolarizing,0.1,10110,2
cirq,depolarizing,0.1,00101,2
cirq,depolarizing,0.1,11110,49
cirq,depolarizing,0.1,11010,4
cirq,depolarizing,0.1,00011,2
cirq,depolarizing,0.1,10011,2
cirq,depolarizing,0.1,00010,47
cirq,depolarizing,0.1,01110,3
cirq,depolarizing,0.1,10101,1
cirq,depolarizing,0.1,01011,2
cirq,depolarizing,0.1,01001,5
cirq,depolarizing,0.1,00111,5
cirq,depolarizing,0.1,11001,3
cirq,depolarizing,0.1,01100,4
cirq,depolarizing,0.1,01101,2
cirq,depolarizing,0.1,10100,4
cirq,depolarizing,0.1,10010,2
cirq,depolarizing,0.1,01010,1
cirq,depolarizing,0.1,11000,4
